TF pair	Coregulation coefficient	#genes shared	List of genes shared
SWI5:UME6	1.08096	10	CTS1:ENO1:FRS2:GAT1:GAT3:RME1:VPS55:YFR017C:YHR138C:YLR012C
RTG3:SOK2	1.0816	11	AAD3:ECM13:ENA1:MAK32:MAS6:MRPL24:RSM10:SED1:YCR018CA:YKL071W:ZRT1
IXR1:MCM1	1.08178	2	SPS4:YOR315W
TOS8:YRR1	1.08219	2	BIR1:YJR088C
PDR3:GAL4	1.08342	1	SNQ2
RTG3:MCM1	1.08369	6	ARG5,6:CSN9:MTF2:YDR179WA:YDR210WD:YLR302C
SUM1:ARG81	1.08424	1	SPS2
GCN4:STB5	1.08433	4	YAP1801:YDR084C:YHR162W:YLR152C
GZF3:HMS2	1.08436	1	TYR1
UME6:RIM101	1.08489	6	DIT1:DPP1:HOP1:IME1:IME2:ZIP1
YAP5:MSS11	1.08495	2	AAD3:ADH7
SOK2:GAL4	1.08523	9	AAD3:COS1:YDR544C:YLL065W:YLL066C:YNL337W:YOR138C:YRF11:YRF16
YJL206C:HAP4	1.08601	2	KRE11:YIL002WA
ADR1:YOX1	1.08636	8	DHH1:PRP21:RCY1:STE7:UBX3:YDR084C:YKL071W:YNL100W
STP1:HAP4	1.08651	4	ERG26:INH1:PRP3:YIL002WA
RME1:MSN4	1.08698	4	DFR1:RPL7B:SMP2:YML125C
SMP1:RCS1	1.08703	13	CCW14:COS3:CTF19:MNN1:RPC19:RPL36B:VIK1:VTC3:YDR543C:YEL001C:YNL115C:YNL337W:YPL251W
MBP1:YRR1	1.08772	2	BUB1:RNH202
RPH1:MCM1	1.08809	3	YBL059W:YDR210WD:YLR302C
MSN4:CHA4	1.08834	4	ASI1:YER189W:YMR119WA:YRF12
CAD1:SOK2	1.08839	6	CTT1:CUP12:DCS2:YKL071W:YLL065W:YLL066C
YHP1:GAL4	1.08937	5	RFA1:SEN34:YLL065W:YLL066C:YRF16
SWI5:FKH2	1.09139	9	AMN1:CTS1:FRS2:GAT1:LSM3:MRPL4:YER078C:YER078WA:YER079W
DAL81:CBF1	1.09158	12	CYS4:GLY1:GNP1:ICY1:IES6:MRS3:PUT1:SLS1:SMT3:TYE7:YEL045C:YGR154C
FKH1:RLM1	1.09167	4	AFR1:EXG1:SPS4:YOR315W
