TF-pair	Coregulation-coefficient	#genes shared	list of genes shared
MCM1:PIP2	0.35258	1	RPS24B
THI2:ROX1	0.35272	1	SPO20
TOS8:SUT1	0.35444	2	RCK1:RIM101
SUM1:PDR1	0.35454	1	YRF11
YHP1:RPH1	0.35501	1	SSA3
PHO4:FKH1	0.35539	2	CHA1:VAC17
GZF3:ABF1	0.35541	2	TIF11:TRM2
GLN3:BAS1	0.35594	1	HIS4
RPH1:PHD1	0.35659	1	FLO1
OAF1:STE12	0.35663	2	KRE1:YNL321W
YHP1:GCN4	0.35698	4	ARO3:KAR9:MET22:SAM4
ADR1:PDR1	0.35723	1	FUN26
MGA1:DAL81	0.3581	1	YOR315W
OAF1:HAP4	0.35832	1	SDH1
PHD1:PIP2	0.35901	1	XBP1
UME6:XBP1	0.35955	2	GIC2:IME1
MBP1:RCS1	0.3596	9	AFG2:CDC21:CDC6:ELO1:MNN1:PAC10:UFE1:YDR084C:YGR079W
SWI6:INO4	0.35966	1	UTR2
STB5:ROX1	0.35991	1	YMR315W
REB1:AFT2	0.36014	4	GTS1:RHO2:UBC8:YGL182C
ADR1:CIN5	0.36183	2	YLR125W:YPS3
RDS1:SWI6	0.36184	1	ZWF1
CBF1:MAC1	0.36281	2	CTF19:VTC3
NRG1:GCR1	0.36309	1	YAR064W
CIN5:TYE7	0.36381	3	TDH3:YDR042C:YPS3
MSN4:MET4	0.36388	1	DFR1
PLM2:YJL206C	0.36429	1	COS12
PUT3:RAP1	0.36463	3	CPA1:RPL16A:YOR302W
YAP5:IXR1	0.36475	1	YBR007C
HSF1:RME1	0.36476	1	RPA34
CBF1:MSN4	0.36499	7	DAP1:GSC2:OYE3:PRE2:RPL11A:RPN4:YHR033W
PDR1:CBF1	0.36602	4	ATX1:CTF19:PDR10:VTC3
UPC2:MSN4	0.36651	1	YDR210WD
ABF1:ACE2	0.36673	4	SAP4:SHE10:WSC4:YHL029C
DAL81:HAP4	0.36751	2	GDH1:MNN1
ADR1:FHL1	0.36772	2	FUN26:RPS22B
MIG2:AFT2	0.3678	1	YEL070W
CBF1:FHL1	0.36813	8	HMS2:ICY1:PRE2:RPL11A:RPS21A:RPS4A:TYE7:YJR146W
PDR1:MGA1	0.36836	1	ADH7
REB1:STP1	0.36882	2	PRP22:RCR2
YHP1:CBF1	0.36906	5	AVT7:HST4:MET22:RTG2:RVB1
GCN4:RCS1	0.3693	9	GCV2:GLN3:HVG1:LAP4:MRPS17:PHO90:STB4:YDR084C:YJL200C
PDR3:CBF1	0.36948	1	PDR10
MBP1:DAL80	0.36982	2	MRPL4:YDR084C
STP1:PLM2	0.37024	2	PRP3:YOL159C
PDR1:YAP1	0.37056	2	SNQ2:YFR017C
YHP1:RME1	0.37068	1	IME1
MBP1:ABF1	0.37123	8	CAP1:ECM33:ERV25:LAC1:RFA2:SLM4:YML013CA:YNL313C
SKN7:YAP5	0.37124	6	AAC1:CBF2:FRS2:GAT1:UTH1:YCR022C
RIM101:RAP1	0.37162	2	RPS0B:YLR047C
RME1:FKH1	0.37177	1	YIL158W
UME6:YAP6	0.37221	5	GAT4:IME1:SFC1:YIR014W:YLR297W
PHD1:YOX1	0.37353	6	FLO9:GDH3:PAC2:SET4:YIL171W:YIL172C
RPN4:MIG1	0.37359	1	YEL070W
HSF1:TYE7	0.37384	2	ENO2:TDH3
PLM2:RCS1	0.37403	8	COS3:COX13:DBP2:NAT2:PRP3:YNR040W:YOL160W:ZRG17
UME6:PDR1	0.37434	3	VPS55:YFR017C:YOR1
